"Placemarkopen","TrackaltitudeMode","Trackwhen","Longitude","Latitude","Altitude"
"","","2010-12-13T20:45:52.2073437Z","13.739752000","46.431520000","2015.550960"
"","","2010-12-13T20:45:52.2073437Z","13.739782000","46.431440000","2008.814880"
"","","2010-12-13T20:45:52.2073437Z","13.739722000","46.431400000","2003.054160"
"","","2010-12-13T20:45:52.2073437Z","13.739782000","46.431290000","1997.750640"
"","","2010-12-13T20:45:52.2073437Z","13.739802000","46.431200000","1999.213680"
"","","2010-12-13T20:45:52.2073437Z","13.739822000","46.431160000","1991.014560"
"","","2010-12-13T20:45:52.2073437Z","13.739832000","46.431110000","1983.333600"
"","","2010-12-13T20:45:52.2073437Z","13.739922000","46.431050000","1981.901040"
"","","2010-12-13T20:45:52.2073437Z","13.739962000","46.430950000","1982.845920"
"","","2010-12-13T20:45:52.2073437Z","13.740042000","46.430930000","1979.005440"
"","","2010-12-13T20:45:52.2073437Z","13.740182000","46.430890000","1976.140320"
"","","2010-12-13T20:45:52.2073437Z","13.740302000","46.430860000","1972.757040"
"","","2010-12-13T20:45:52.2073437Z","13.740262000","46.430820000","1970.836800"
"","","2010-12-13T20:45:52.2073437Z","13.740172000","46.430760000","1963.643520"
"","","2010-12-13T20:45:52.2073437Z","13.740252000","46.430710000","1959.772560"
"","","2010-12-13T20:45:52.2073437Z","13.740192000","46.430670000","1956.907440"
"","","2010-12-13T20:45:52.2073437Z","13.740272000","46.430620000","1955.444400"
"","","2010-12-13T20:45:52.2073437Z","13.740402000","46.430600000","1954.011840"
"","","2010-12-13T20:45:52.2073437Z","13.740452000","46.430560000","1948.738800"
"","","2010-12-13T20:45:52.2073437Z","13.740532000","46.430510000","1946.818560"
"","","2010-12-13T20:45:52.2073437Z","13.740622000","46.430530000","1943.922960"
"","","2010-12-13T20:45:52.2073437Z","13.741072000","46.431020000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741272000","46.431130000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741292000","46.431260000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741382000","46.431310000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741512000","46.431430000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741582000","46.431490000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741702000","46.431560000","1942.490400"
"","","2010-12-13T20:45:52.2073437Z","13.741362000","46.431630000","1873.270320"
"","","2010-12-13T20:45:52.2073437Z","13.741252000","46.431650000","1867.021920"
"","","2010-12-13T20:45:52.2073437Z","13.741282000","46.431740000","1869.429840"
"","","2010-12-13T20:45:52.2073437Z","13.741342000","46.431800000","1863.181440"
"","","2010-12-13T20:45:52.2073437Z","13.741442000","46.431850000","1864.614000"
"","","2010-12-13T20:45:52.2073437Z","13.741512000","46.431920000","1864.614000"
"","","2010-12-13T20:45:52.2073437Z","13.741592000","46.432000000","1864.614000"
"","","2010-12-13T20:45:52.2073437Z","13.741642000","46.432060000","1864.614000"
"","","2010-12-13T20:45:52.2073437Z","13.741722000","46.432140000","1864.614000"
"","","2010-12-13T20:45:52.2073437Z","13.741672000","46.432220000","1852.604880"
"","","2010-12-13T20:45:52.2073437Z","13.741622000","46.432290000","1846.356480"
"","","2010-12-13T20:45:52.2073437Z","13.741572000","46.432330000","1837.700160"
"","","2010-12-13T20:45:52.2073437Z","13.741622000","46.432410000","1833.859680"
"","","2010-12-13T20:45:52.2073437Z","13.741662000","46.432500000","1829.531520"
"","","2010-12-13T20:45:52.2073437Z","13.741692000","46.432580000","1827.123600"
"","","2010-12-13T20:45:52.2073437Z","13.741702000","46.432660000","1822.307760"
"","","2010-12-13T20:45:52.2073437Z","13.741762000","46.432750000","1819.899840"
"","","2010-12-13T20:45:52.2073437Z","13.741822000","46.432830000","1816.547040"
"","","2010-12-13T20:45:52.2073437Z","13.741902000","46.432870000","1813.651440"
"","","2010-12-13T20:45:52.2073437Z","13.742012000","46.432920000","1813.651440"
"","","2010-12-13T20:45:52.2073437Z","13.742092000","46.432980000","1811.274000"
